Order ID;Order Date;Order Priority;Order Quantity;Sales;Ship Mode;Customer Segment;Product Container;Ship Date
2757;19.07.2011;Critical;39;3554,46;Delivery Truck;Corporate;Jumbo Drum;19.07.2011
2791;09.10.2009;High;47;191,67;Regular Air;Corporate;Small Box;09.10.2009
2791;09.10.2009;High;49;5586,33;Delivery Truck;Corporate;Jumbo Drum;11.10.2009
2791;09.10.2009;High;18;507,64;Regular Air;Corporate;Small Box;10.10.2009
2976;09.12.2010;Not Specified;30;14223,82;Delivery Truck;Consumer;Jumbo Drum;11.12.2010
3232;08.10.2012;Critical;5;42,66;Regular Air;Small Business;Small Box;10.10.2012
3524;02.05.2012;High;21;427,32;Regular Air;Small Business;Small Box;03.05.2012
3908;08.03.2010;Medium;8;820,284;Regular Air;Corporate;Small Box;08.03.2010
4132;28.05.2011;Not Specified;5;14,76;Regular Air;Corporate;Small Box;30.05.2011
4612;19.09.2010;Medium;9;89,55;Regular Air;Corporate;Large Box;21.09.2010
4676;31.08.2011;High;11;1210,0515;Regular Air;Home Office;Small Box;01.09.2011
4676;31.08.2011;High;50;187,83;Regular Air;Home Office;Small Box;02.09.2011
4676;31.08.2011;High;3;49,59;Express Air;Home Office;Small Box;02.09.2011
4676;31.08.2011;High;30;4253,009;Regular Air;Home Office;Small Box;01.09.2011
5284;08.07.2011;Not Specified;7;59,38;Regular Air;Home Office;Small Box;10.07.2011
5316;30.01.2009;Critical;42;1285,37;Regular Air;Corporate;Small Pack;01.02.2009
5409;08.01.2012;Low;11;48,91;Regular Air;Corporate;Wrap Bag;13.01.2012
5506;07.11.2010;Critical;22;129,62;Regular Air;Corporate;Wrap Bag;08.11.2010
5569;29.04.2010;Not Specified;12;118,97;Regular Air;Corporate;Small Box;01.05.2010
5607;31.12.2011;Not Specified;8;61,8715;Regular Air;Home Office;Medium Box;03.01.2012
5894;12.08.2009;High;7;384,33;Regular Air;Corporate;Small Box;13.08.2009
5894;12.08.2009;High;3;239,03;Regular Air;Corporate;Small Box;15.08.2009
5925;12.11.2011;Low;44;3922,42;Regular Air;Home Office;Medium Box;19.11.2011
5925;12.11.2011;Low;25;1733,3625;Regular Air;Home Office;Wrap Bag;19.11.2011
6016;20.01.2012;High;19;208,28;Regular Air;Home Office;Small Box;20.01.2012
6116;20.03.2009;Medium;6;9620,82;Regular Air;Corporate;Medium Box;22.03.2009
6182;21.07.2012;Low;40;255,48;Regular Air;Corporate;Small Box;28.07.2012
6182;21.07.2012;Low;18;130,32;Express Air;Corporate;Small Box;25.07.2012
6535;12.06.2012;Critical;11;312,36;Express Air;Corporate;Small Pack;15.06.2012
6884;15.01.2009;Low;41;217;Regular Air;Home Office;Small Box;20.01.2009
6884;15.01.2009;Low;47;296,13;Regular Air;Home Office;Wrap Bag;20.01.2009
6916;04.06.2010;Low;40;436,17;Express Air;Consumer;Small Box;08.06.2010
6980;18.02.2010;Not Specified;18;136,29;Regular Air;Consumer;Small Box;19.02.2010
6982;16.11.2011;Not Specified;32;1311,25;Express Air;Corporate;Small Pack;18.11.2011
6982;16.11.2011;Not Specified;5;544,41;Delivery Truck;Corporate;Jumbo Box;18.11.2011
6982;16.11.2011;Not Specified;41;844,09;Regular Air;Corporate;Small Box;18.11.2011
7110;07.08.2011;Low;22;6396,2;Regular Air;Corporate;Large Box;11.08.2011
7430;08.06.2010;Medium;50;751,77;Regular Air;Corporate;Small Box;09.06.2010
7906;17.10.2009;Medium;37;1003,06;Regular Air;Consumer;Medium Box;17.10.2009
8391;28.08.2011;High;4;1266,72;Delivery Truck;Corporate;Jumbo Drum;29.08.2011
8419;29.09.2011;Critical;19;368,04;Express Air;Small Business;Small Box;01.10.2011
8419;29.09.2011;Critical;24;152,6;Regular Air;Small Business;Small Box;30.09.2011
8833;04.05.2012;Low;40;3338,98;Regular Air;Small Business;Large Box;08.05.2012
8995;17.05.2011;High;5;24,16;Express Air;Consumer;Small Box;18.05.2011
8995;17.05.2011;High;41;270,84;Express Air;Consumer;Small Box;18.05.2011
8995;17.05.2011;High;35;3389,93;Express Air;Consumer;Large Box;18.05.2011
8995;17.05.2011;High;42;266,36;Regular Air;Consumer;Small Box;18.05.2011
8995;17.05.2011;High;46;89,41;Regular Air;Consumer;Wrap Bag;19.05.2011
9126;17.11.2009;Medium;47;2799,7;Regular Air;Corporate;Small Box;18.11.2009
9127;10.10.2011;Not Specified;7;2039,56;Express Air;Corporate;Large Box;12.10.2011
9509;07.10.2012;Not Specified;36;12175,82;Delivery Truck;Home Office;Jumbo Drum;08.10.2012
9509;07.10.2012;Not Specified;5;101,21;Express Air;Home Office;Small Box;08.10.2012
9509;07.10.2012;Not Specified;32;1585,64;Regular Air;Home Office;Small Box;07.10.2012
9763;13.08.2011;Medium;44;176,26;Regular Air;Corporate;Small Box;16.08.2011
9927;16.08.2011;High;32;4655,07;Delivery Truck;Corporate;Jumbo Box;17.08.2011
9927;16.08.2011;High;44;10087,6;Regular Air;Corporate;Large Box;17.08.2011
9927;16.08.2011;High;34;1608,08;Express Air;Corporate;Small Box;17.08.2011
10022;04.03.2009;Low;1;12,18;Regular Air;Small Business;Wrap Bag;04.03.2009
10437;18.08.2009;Critical;50;820,52;Regular Air;Corporate;Small Box;20.08.2009
10499;16.11.2010;Not Specified;29;6250,936;Delivery Truck;Corporate;Jumbo Box;17.11.2010
10535;27.05.2011;Low;25;854,88;Regular Air;Corporate;Small Box;29.05.2011
10535;27.05.2011;Low;46;80,27;Regular Air;Corporate;Wrap Bag;03.06.2011
10789;23.08.2010;Not Specified;15;308,54;Express Air;Corporate;Wrap Bag;24.08.2010
10791;19.08.2011;Not Specified;20;400,57;Regular Air;Small Business;Small Box;21.08.2011
10945;03.01.2012;Medium;14;1170,025;Regular Air;Consumer;Small Box;05.01.2012
11137;29.11.2012;High;48;5188,86;Regular Air;Small Business;Small Box;30.11.2012
11202;17.03.2012;Medium;8;339,81;Regular Air;Corporate;Small Box;18.03.2012
11456;12.04.2010;Low;15;1519,9;Regular Air;Corporate;Large Box;19.04.2010
11460;24.08.2010;High;30;102,24;Regular Air;Home Office;Small Box;26.08.2010
11495;04.07.2011;High;6;965,69;Delivery Truck;Corporate;Jumbo Box;05.07.2011
11911;10.11.2010;Critical;25;397,84;Regular Air;Consumer;Small Box;12.11.2010
11941;24.06.2010;Critical;4;73,07;Regular Air;Corporate;Small Box;25.06.2010
11941;24.06.2010;Critical;26;4679,1;Delivery Truck;Corporate;Jumbo Box;25.06.2010
12096;19.09.2012;Medium;46;8009,5925;Regular Air;Home Office;Small Box;19.09.2012
12096;19.09.2012;Medium;23;4689,66;Regular Air;Home Office;Large Box;21.09.2012
12289;24.12.2011;Low;25;3019,41;Regular Air;Corporate;Medium Box;28.12.2011
12352;23.03.2012;Medium;5;36,86;Regular Air;Corporate;Small Box;24.03.2012
12419;15.10.2011;Critical;12;22079,47;Regular Air;Corporate;Medium Box;17.10.2011
12485;07.08.2010;Critical;24;5407,31;Delivery Truck;Home Office;Jumbo Drum;08.08.2010
12544;03.03.2009;Low;34;74,3;Regular Air;Corporate;Small Box;10.03.2009
12704;09.02.2010;Low;44;21506,77;Regular Air;Small Business;Large Box;09.02.2010
12704;09.02.2010;Low;28;669,02;Delivery Truck;Small Business;Jumbo Drum;11.02.2010
12771;17.01.2009;Critical;40;1143,49;Regular Air;Small Business;Small Box;17.01.2009
12771;17.01.2009;Critical;46;78,08;Regular Air;Small Business;Wrap Bag;19.01.2009
12929;30.08.2010;Critical;19;5297,47;Delivery Truck;Corporate;Jumbo Drum;31.08.2010
12929;30.08.2010;Critical;20;95,3;Regular Air;Corporate;Wrap Bag;31.08.2010
13280;11.09.2009;High;40;460,68;Regular Air;Small Business;Small Box;12.09.2009
13280;11.09.2009;High;49;318,7585;Regular Air;Small Business;Medium Box;12.09.2009
13313;16.07.2009;Not Specified;47;1020,61;Regular Air;Home Office;Medium Box;17.07.2009
13346;15.11.2012;Low;44;268,34;Regular Air;Corporate;Small Box;20.11.2012
13702;10.09.2011;Low;6;209;Regular Air;Small Business;Small Box;14.09.2011
13795;10.04.2011;Not Specified;30;501,32;Regular Air;Small Business;Small Box;13.04.2011
13795;10.04.2011;Not Specified;23;275,16;Express Air;Small Business;Small Box;13.04.2011
13795;10.04.2011;Not Specified;37;1302,99;Regular Air;Small Business;Small Box;11.04.2011
14116;09.10.2011;High;1;40,1;Regular Air;Small Business;Small Box;11.10.2011
14116;09.10.2011;High;42;1414,05;Regular Air;Small Business;Small Box;10.10.2011
14372;23.10.2012;Critical;34;5350,61;Delivery Truck;Corporate;Jumbo Box;25.10.2012
14726;08.01.2012;Low;15;310,87;Regular Air;Consumer;Small Box;08.01.2012
14819;25.01.2010;Not Specified;48;9062,73;Regular Air;Home Office;Small Box;27.01.2010
14819;25.01.2010;Not Specified;27;1584,1;Delivery Truck;Home Office;Jumbo Box;26.01.2010
15106;27.01.2011;Not Specified;42;283,58;Regular Air;Home Office;Small Pack;29.01.2011
15106;27.01.2011;Not Specified;39;5403,37;Delivery Truck;Home Office;Jumbo Drum;27.01.2011
15106;27.01.2011;Not Specified;35;82,15;Regular Air;Home Office;Wrap Bag;29.01.2011
15108;27.08.2009;High;50;2066,16;Regular Air;Small Business;Small Box;29.08.2009
15205;17.03.2011;Critical;18;4605,36;Delivery Truck;Corporate;Jumbo Drum;19.03.2011
15205;17.03.2011;Critical;42;1753,51;Regular Air;Corporate;Wrap Bag;18.03.2011
15591;06.06.2012;Critical;31;426,34;Regular Air;Small Business;Small Box;08.06.2012
15907;11.04.2011;High;36;1837,44;Delivery Truck;Home Office;Jumbo Box;13.04.2011
15907;11.04.2011;High;36;3722,29;Express Air;Home Office;Medium Box;14.04.2011
15907;11.04.2011;High;4;28,05;Regular Air;Home Office;Wrap Bag;12.04.2011
15937;06.11.2012;Low;32;311,44;Regular Air;Corporate;Small Pack;10.11.2012
15937;06.11.2012;Low;17;215,65;Express Air;Corporate;Small Pack;15.11.2012
16039;16.05.2012;High;3;121,12;Regular Air;Home Office;Small Pack;17.05.2012
16193;09.04.2012;Not Specified;8;300,2;Regular Air;Corporate;Small Box;11.04.2012
16193;09.04.2012;Not Specified;29;1364,8025;Regular Air;Corporate;Small Pack;11.04.2012
16423;05.08.2012;Medium;19;128,21;Regular Air;Corporate;Small Box;07.08.2012
16451;22.07.2009;Not Specified;9;252,79;Regular Air;Corporate;Small Box;23.07.2009
16545;09.05.2010;Not Specified;10;50,97;Regular Air;Small Business;Wrap Bag;11.05.2010
16545;09.05.2010;Not Specified;1;4,99;Regular Air;Small Business;Wrap Bag;11.05.2010
16547;18.02.2009;Not Specified;30;10554,63;Delivery Truck;Corporate;Jumbo Drum;20.02.2009
16547;18.02.2009;Not Specified;8;1749,64;Delivery Truck;Corporate;Jumbo Box;18.02.2009
16706;27.06.2012;High;47;1943,72;Regular Air;Corporate;Wrap Bag;28.06.2012
16706;27.06.2012;High;6;18,37;Regular Air;Corporate;Wrap Bag;28.06.2012
16706;27.06.2012;High;49;6175,777;Express Air;Corporate;Small Box;29.06.2012
16741;30.09.2010;Medium;6;157,97;Regular Air;Small Business;Small Box;01.10.2010
16932;15.04.2010;Critical;25;144,84;Regular Air;Consumer;Small Box;16.04.2010
16932;15.04.2010;Critical;20;127,16;Regular Air;Consumer;Wrap Bag;15.04.2010
17283;14.09.2011;Not Specified;4;5472,12;Delivery Truck;Home Office;Jumbo Drum;15.09.2011
17286;21.09.2010;High;7;1810,67;Delivery Truck;Small Business;Jumbo Drum;22.09.2010
17409;17.08.2010;Not Specified;31;633,56;Regular Air;Small Business;Small Box;19.08.2010
17764;16.09.2009;Low;27;644,4;Regular Air;Home Office;Small Box;16.09.2009
18080;22.06.2009;High;7;1211,98;Delivery Truck;Corporate;Jumbo Drum;23.06.2009
18113;28.08.2012;Not Specified;27;3316,08;Delivery Truck;Consumer;Jumbo Drum;30.08.2012
18144;07.06.2011;Critical;48;207,08;Regular Air;Corporate;Small Box;09.06.2011
18144;07.06.2011;Critical;8;234,28;Regular Air;Corporate;Medium Box;09.06.2011
18144;07.06.2011;Critical;41;1779,8915;Regular Air;Corporate;Small Pack;09.06.2011
18308;09.10.2009;Not Specified;30;114,12;Regular Air;Corporate;Small Box;11.10.2009
18308;09.10.2009;Not Specified;15;436,05;Regular Air;Corporate;Small Box;09.10.2009
18308;09.10.2009;Not Specified;49;5247,4835;Regular Air;Corporate;Small Box;10.10.2009
18887;05.12.2010;Not Specified;9;173,417;Regular Air;Corporate;Wrap Bag;07.12.2010
19010;07.06.2009;Low;18;23792,93;Regular Air;Small Business;Small Box;09.06.2009
19078;27.07.2009;Critical;21;256,12;Regular Air;Corporate;Small Box;28.07.2009
19138;05.09.2011;Low;30;387;Express Air;Home Office;Small Box;10.09.2011
19655;11.01.2009;High;31;1143,45;Regular Air;Corporate;Small Pack;12.01.2009
19686;15.08.2010;Medium;2;42,31;Regular Air;Corporate;Medium Box;15.08.2010
19686;15.08.2010;Medium;11;152,67;Regular Air;Corporate;Small Box;17.08.2010
20007;05.08.2009;Not Specified;49;82,61;Regular Air;Small Business;Wrap Bag;06.08.2009
20071;17.09.2011;Medium;31;789,94;Delivery Truck;Home Office;Jumbo Drum;19.09.2011
20160;22.10.2011;Low;42;435,24;Express Air;Small Business;Wrap Bag;24.10.2011
20263;14.11.2009;Medium;8;473,7;Regular Air;Small Business;Small Box;15.11.2009
20263;14.11.2009;Medium;33;553,5625;Regular Air;Small Business;Small Pack;16.11.2009
21285;03.07.2010;Medium;32;54,78;Regular Air;Corporate;Wrap Bag;04.07.2010
21285;03.07.2010;Medium;47;304,83;Regular Air;Corporate;Wrap Bag;05.07.2010
21383;30.01.2009;Low;31;16066,85;Regular Air;Consumer;Large Box;04.02.2009
21607;15.03.2012;Not Specified;17;618,9;Regular Air;Home Office;Wrap Bag;17.03.2012
21636;10.08.2009;Low;35;1665,0395;Regular Air;Home Office;Small Pack;10.08.2009
21889;01.04.2010;Low;21;1049,79;Regular Air;Consumer;Small Box;08.04.2010
21889;01.04.2010;Low;16;817,18;Regular Air;Consumer;Small Box;03.04.2010
22151;31.07.2010;High;49;465,83;Regular Air;Corporate;Small Box;31.07.2010
22342;29.05.2009;Low;13;241,706;Regular Air;Small Business;Small Pack;05.06.2009
22469;11.10.2010;High;44;275,91;Regular Air;Corporate;Medium Box;13.10.2010
22501;18.05.2010;High;2;30,83;Express Air;Corporate;Small Box;19.05.2010
22532;08.02.2011;Critical;13;121,66;Regular Air;Consumer;Small Box;08.02.2011
23264;07.12.2010;Critical;16;108,42;Regular Air;Corporate;Small Box;09.12.2010
23264;07.12.2010;Critical;27;78,47;Regular Air;Corporate;Small Box;09.12.2010
23488;06.01.2009;Critical;30;26133,39;Delivery Truck;Home Office;Jumbo Box;07.01.2009
23584;12.03.2012;Critical;14;2671,21;Delivery Truck;Corporate;Jumbo Drum;14.03.2012
24007;26.08.2010;Low;26;531,66;Regular Air;Home Office;Small Pack;02.09.2010
24007;26.08.2010;Low;28;317,85;Regular Air;Home Office;Small Box;02.09.2010
24007;26.08.2010;Low;42;163,08;Regular Air;Home Office;Small Box;30.08.2010
24038;20.06.2011;High;38;103,07;Regular Air;Corporate;Wrap Bag;22.06.2011
24097;04.08.2010;High;1;17,19;Regular Air;Small Business;Small Pack;04.08.2010
24097;04.08.2010;High;27;2689,48;Regular Air;Small Business;Small Box;06.08.2010
24097;04.08.2010;High;2;15,31;Regular Air;Small Business;Small Box;06.08.2010
24128;23.11.2010;High;13;270,63;Regular Air;Corporate;Wrap Bag;25.11.2010
24128;23.11.2010;High;43;6583,913;Regular Air;Corporate;Small Box;25.11.2010
24294;02.08.2009;Not Specified;24;4865,72;Delivery Truck;Home Office;Jumbo Drum;03.08.2009
24387;10.08.2011;Critical;23;1003,31;Regular Air;Small Business;Large Box;11.08.2011
24387;10.08.2011;Critical;17;6048,18;Delivery Truck;Small Business;Jumbo Drum;10.08.2011
24515;06.05.2010;Critical;41;3051,27;Delivery Truck;Home Office;Jumbo Drum;08.05.2010
24743;28.06.2012;Low;47;9633,59;Delivery Truck;Corporate;Jumbo Drum;05.07.2012
24743;28.06.2012;Low;26;3758,77;Regular Air;Corporate;Large Box;03.07.2012
24871;23.03.2011;Medium;6;143,78;Regular Air;Corporate;Small Pack;24.03.2011
25318;19.11.2011;Critical;22;440,92;Express Air;Small Business;Small Box;21.11.2011
25377;26.11.2012;Low;3;4343,51;Delivery Truck;Corporate;Jumbo Drum;03.12.2012
25634;29.07.2010;Not Specified;29;593,32;Regular Air;Corporate;Small Box;01.08.2010
25634;29.07.2010;Not Specified;26;626,07;Express Air;Corporate;Small Box;30.07.2010
25733;12.05.2012;Low;24;557,23;Regular Air;Home Office;Small Box;17.05.2012
25767;03.03.2012;High;7;261,88;Regular Air;Corporate;Small Pack;03.03.2012
25767;03.03.2012;High;15;593,73;Regular Air;Corporate;Small Box;04.03.2012
26023;20.08.2010;High;49;120,77;Regular Air;Corporate;Wrap Bag;21.08.2010
26051;27.06.2010;Not Specified;22;795,74;Delivery Truck;Home Office;Jumbo Drum;29.06.2010
26051;27.06.2010;Not Specified;31;251,75;Regular Air;Home Office;Small Pack;28.06.2010
26116;29.10.2012;Critical;36;697,41;Regular Air;Small Business;Small Box;30.10.2012
26182;16.01.2010;Not Specified;30;4684,9;Delivery Truck;Corporate;Jumbo Box;19.01.2010
26272;29.06.2012;Low;6;905,94;Express Air;Home Office;Large Box;08.07.2012
26370;08.08.2011;Not Specified;12;270,23;Regular Air;Home Office;Small Box;10.08.2011
26370;08.08.2011;Not Specified;20;660,27;Express Air;Home Office;Small Box;10.08.2011
26499;21.02.2010;Medium;11;32,4;Regular Air;Corporate;Small Box;22.02.2010
26531;20.06.2011;Medium;26;4688,9485;Regular Air;Corporate;Small Box;22.06.2011
26567;04.09.2009;Critical;8;50,7;Regular Air;Corporate;Small Box;04.09.2009
26567;04.09.2009;Critical;10;90,06;Express Air;Corporate;Small Pack;07.09.2009
26567;04.09.2009;Critical;22;338,52;Regular Air;Corporate;Small Pack;05.09.2009
26567;04.09.2009;Critical;48;6109,817;Regular Air;Corporate;Small Box;05.09.2009
26854;21.06.2009;Not Specified;1;34,11;Regular Air;Home Office;Small Pack;22.06.2009
27109;08.02.2012;Critical;48;538,22;Regular Air;Consumer;Small Box;10.02.2012
27111;11.03.2009;High;11;1064,23;Regular Air;Home Office;Small Box;14.03.2009
27111;11.03.2009;High;18;3497,05;Regular Air;Home Office;Small Box;12.03.2009
27111;11.03.2009;High;44;774,0525;Express Air;Home Office;Small Pack;11.03.2009
27264;04.06.2011;Low;3;74,05;Regular Air;Small Business;Large Box;06.06.2011
27392;02.03.2012;Low;37;5753,85;Regular Air;Corporate;Medium Box;11.03.2012
27553;12.08.2011;Medium;48;18235,47;Delivery Truck;Corporate;Jumbo Drum;14.08.2011
27553;12.08.2011;Medium;16;2631,107;Regular Air;Corporate;Medium Box;14.08.2011
27555;01.09.2009;Critical;32;209,42;Regular Air;Consumer;Wrap Bag;03.09.2009
27680;26.01.2010;Critical;32;324,4;Regular Air;Small Business;Small Box;27.01.2010
27680;26.01.2010;Critical;19;137,02;Regular Air;Small Business;Small Box;27.01.2010
27778;02.09.2011;Critical;1;232,67;Regular Air;Corporate;Small Box;04.09.2011
27778;02.09.2011;Critical;34;4805,92;Delivery Truck;Corporate;Jumbo Box;04.09.2011
27909;07.02.2012;Critical;1;62,26;Regular Air;Corporate;Small Box;09.02.2012
27909;07.02.2012;Critical;47;58,53;Regular Air;Corporate;Wrap Bag;10.02.2012
28003;19.03.2011;Critical;31;157,79;Regular Air;Corporate;Small Box;21.03.2011
28035;08.05.2011;Not Specified;19;376,21;Regular Air;Home Office;Small Box;10.05.2011
28135;25.09.2009;Critical;37;1601,24;Regular Air;Corporate;Medium Box;27.09.2009
28135;25.09.2009;Critical;40;501,31;Regular Air;Corporate;Small Pack;25.09.2009
28165;09.07.2012;Not Specified;2;24,96;Regular Air;Corporate;Small Box;11.07.2012
28289;14.01.2010;High;31;166,76;Regular Air;Corporate;Small Box;15.01.2010
28486;26.08.2009;High;2;811,13;Regular Air;Corporate;Small Box;27.08.2009
28675;08.10.2009;Critical;15;822,8425;Regular Air;Consumer;Small Box;09.10.2009
28870;10.11.2011;High;35;3310,9455;Regular Air;Corporate;Small Box;13.11.2011
28871;15.04.2012;High;10;55,02;Regular Air;Small Business;Small Pack;15.04.2012
29030;02.01.2012;Medium;10;192,58;Regular Air;Corporate;Wrap Bag;03.01.2012
29095;08.03.2011;Not Specified;40;291,67;Regular Air;Small Business;Small Box;09.03.2011
29287;02.07.2009;High;50;281,39;Regular Air;Consumer;Small Box;04.07.2009
29287;02.07.2009;High;49;12593,91;Delivery Truck;Consumer;Jumbo Drum;04.07.2009
29510;15.04.2011;Critical;22;6123,94;Delivery Truck;Home Office;Jumbo Box;17.04.2011
29795;25.11.2011;High;49;19325,2;Regular Air;Small Business;Small Box;26.11.2011
29795;25.11.2011;High;48;8380,22;Delivery Truck;Small Business;Jumbo Box;26.11.2011
29861;25.04.2012;Critical;11;35,17;Regular Air;Small Business;Small Box;26.04.2012
30658;26.03.2011;Medium;35;17387,65;Regular Air;Corporate;Large Box;27.03.2011
30658;26.03.2011;Medium;44;6040,22;Regular Air;Corporate;Large Box;28.03.2011
30947;14.07.2010;Low;17;691,59;Regular Air;Corporate;Small Box;18.07.2010
30947;14.07.2010;Low;45;345,2;Regular Air;Corporate;Small Box;18.07.2010
31077;23.10.2010;Not Specified;36;1955,0765;Regular Air;Small Business;Small Box;25.10.2010
31111;24.08.2009;Not Specified;27;217,93;Regular Air;Corporate;Wrap Bag;26.08.2009
31169;09.06.2011;Low;6;254,76;Regular Air;Home Office;Large Box;13.06.2011
31270;23.11.2012;Medium;21;6806,66;Delivery Truck;Corporate;Jumbo Drum;24.11.2012
31270;23.11.2012;Medium;3;891,61;Delivery Truck;Corporate;Jumbo Drum;25.11.2012
31270;23.11.2012;Medium;5;165,04;Regular Air;Corporate;Small Box;25.11.2012
31364;01.05.2009;Not Specified;2;789,01;Regular Air;Corporate;Small Box;01.05.2009
31393;11.05.2012;Critical;4;97,57;Regular Air;Corporate;Large Box;12.05.2012
31393;11.05.2012;Critical;31;110,32;Regular Air;Corporate;Wrap Bag;13.05.2012
31492;15.10.2010;Critical;26;321,68;Regular Air;Small Business;Small Box;17.10.2010
31492;15.10.2010;Critical;34;971,95;Express Air;Small Business;Small Box;18.10.2010
31492;15.10.2010;Critical;23;2149,03;Regular Air;Small Business;Small Box;16.10.2010
31558;23.07.2011;Low;12;3671,3;Regular Air;Home Office;Large Box;28.07.2011
31558;23.07.2011;Low;42;1763,6;Regular Air;Home Office;Small Pack;23.07.2011
31618;11.07.2011;Critical;14;403,17;Regular Air;Corporate;Small Box;11.07.2011
31684;16.09.2012;Critical;15;89,97;Regular Air;Corporate;Wrap Bag;19.09.2012
31684;16.09.2012;Critical;28;456,91;Express Air;Corporate;Small Box;18.09.2012
31781;16.01.2009;Medium;46;249,02;Regular Air;Corporate;Small Box;17.01.2009
31781;16.01.2009;Medium;41;78,49;Regular Air;Corporate;Wrap Bag;17.01.2009
32193;20.10.2010;Low;4;40,72;Express Air;Small Business;Small Box;22.10.2010
32193;20.10.2010;Low;27;113,3;Regular Air;Small Business;Wrap Bag;25.10.2010
32229;30.08.2010;High;8;1219,19;Regular Air;Corporate;Medium Box;30.08.2010
32229;30.08.2010;High;15;28,68;Regular Air;Corporate;Wrap Bag;31.08.2010
32743;07.05.2010;Critical;19;3548,67;Regular Air;Corporate;Small Box;09.05.2010
32806;21.06.2011;Critical;8;178,78;Regular Air;Home Office;Small Pack;22.06.2011
33123;24.11.2010;Medium;41;6045,98;Delivery Truck;Corporate;Jumbo Box;26.11.2010
33159;27.04.2012;Medium;3;56,695;Regular Air;Corporate;Wrap Bag;29.04.2012
33186;28.08.2012;Low;24;1350,531;Regular Air;Corporate;Small Box;30.08.2012
33377;31.07.2011;High;20;100,4;Regular Air;Corporate;Wrap Bag;02.08.2011
33377;31.07.2011;High;19;327,15;Regular Air;Corporate;Small Pack;01.08.2011
33444;06.10.2012;Medium;11;30,51;Regular Air;Corporate;Wrap Bag;07.10.2012
33444;06.10.2012;Medium;8;127,8;Regular Air;Corporate;Small Box;08.10.2012
33703;06.02.2010;Not Specified;4;242,36;Regular Air;Corporate;Small Pack;07.02.2010
33703;06.02.2010;Not Specified;25;802,19;Regular Air;Corporate;Small Box;07.02.2010
33703;06.02.2010;Not Specified;4;63,52;Express Air;Corporate;Small Box;08.02.2010
